"","infinitive","forms"
"15","aconsejar","aconsejo;aconsejas;aconseja;aconsejamos;aconsejáis;aconsejan;aconsejando;aconsejado;aconsejaré;aconsejarás;aconsejará;aconsejaremos;aconsejaréis;aconsejarán;aconsejaba;aconsejabas;aconsejábamos;aconsejabais;aconsejaban;aconsejé;aconsejaste;aconsejó;aconsejasteis;aconsejaron;aconsejaría;aconsejarías;aconsejaríamos;aconsejaríais;aconsejarían;aconseje;aconsejes;aconsejemos;aconsejéis;aconsejen;aconsejara;aconsejaras;aconsejáramos;aconsejarais;aconsejaran;aconsejare;aconsejares;aconsejáremos;aconsejareis;aconsejaren;;aconsejad"
"16","acontecer","acontezco;aconteces;acontece;acontecemos;acontecéis;acontecen;aconteciendo;acontecido;aconteceré;acontecerás;acontecerá;aconteceremos;aconteceréis;acontecerán;acontecía;acontecías;acontecíamos;acontecíais;acontecían;acontecí;aconteciste;aconteció;acontecimos;acontecisteis;acontecieron;acontecería;acontecerías;aconteceríamos;aconteceríais;acontecerían;acontezca;acontezcas;acontezcamos;acontezcáis;acontezcan;aconteciera;acontecieras;aconteciéramos;acontecierais;acontecieran;aconteciere;acontecieres;aconteciéremos;aconteciereis;acontecieren;;aconteced"
"17","acordar","acordaría;acordarías;acordaríamos;acordaríais;acordarían;acordando;acordado;acuerdo;acuerdas;acuerda;acordamos;acordáis;acuerdan;acordaré;acordarás;acordará;acordaremos;acordaréis;acordarán;acordaba;acordabas;acordábamos;acordabais;acordaban;acordé;acordaste;acordó;acordasteis;acordaron;acuerde;acuerdes;acordemos;acordéis;acuerden;acordara;acordaras;acordáramos;acordarais;acordaran;acordare;acordares;acordáremos;acordareis;acordaren;;acordad"
"18","acordarse",";acuérdate;acordaos;acuérdese;acuérdense;acordándose;acordado"
"19","acortar","acorto;acortas;acorta;acortamos;acortáis;acortan;acortando;acortado;acortaré;acortarás;acortará;acortaremos;acortaréis;acortarán;acortaba;acortabas;acortábamos;acortabais;acortaban;acorté;acortaste;acortó;acortasteis;acortaron;acortaría;acortarías;acortaríamos;acortaríais;acortarían;acorte;acortes;acortemos;acortéis;acorten;acortara;acortaras;acortáramos;acortarais;acortaran;acortare;acortares;acortáremos;acortareis;acortaren;;acortad"
"20","acostar","acuesto;acuestas;acuesta;acostamos;acostáis;acuestan;acostando;acostado;acostaré;acostarás;acostará;acostaremos;acostaréis;acostarán;acostaba;acostabas;acostábamos;acostabais;acostaban;acosté;acostaste;acostó;acostasteis;acostaron;acostaría;acostarías;acostaríamos;acostaríais;acostarían;acueste;acuestes;acostemos;acostéis;acuesten;acostara;acostaras;acostáramos;acostarais;acostaran;acostare;acostares;acostáremos;acostareis;acostaren;;acostad"
"21","acostarse",";acuéstate;acostaos;acuéstese;acuéstense;acostándose;acostado"
"22","acostumbrar","acostumbro;acostumbras;acostumbra;acostumbramos;acostumbráis;acostumbran;acostumbrando;acostumbrado;acostumbraré;acostumbrarás;acostumbrará;acostumbraremos;acostumbraréis;acostumbrarán;acostumbraba;acostumbrabas;acostumbrábamos;acostumbrabais;acostumbraban;acostumbré;acostumbraste;acostumbró;acostumbrasteis;acostumbraron;acostumbraría;acostumbrarías;acostumbraríamos;acostumbraríais;acostumbrarían;acostumbre;acostumbres;acostumbremos;acostumbréis;acostumbren;acostumbrara;acostumbraras;acostumbráramos;acostumbrarais;acostumbraran;acostumbrare;acostumbrares;acostumbráremos;acostumbrareis;acostumbraren;;acostumbrad"
"23","acostumbrarse",";acostúmbrate;acostumbraos;acostúmbrese;acostúmbrense;acostumbrándose;acostumbrado"
"24","actuar","actúo;actúas;actúa;actuamos;actuáis;actúan;actuando;actuado;actuaré;actuarás;actuará;actuaremos;actuaréis;actuarán;actuaba;actuabas;actuábamos;actuabais;actuaban;actué;actuaste;actuó;actuasteis;actuaron;actuaría;actuarías;actuaríamos;actuaríais;actuarían;actúe;actúes;actuemos;actuéis;actúen;actuara;actuaras;actuáramos;actuarais;actuaran;actuare;actuares;actuáremos;actuareis;actuaren;;actuad"
