"","infinitive","forms"
"145","componer","compongo;compones;compone;componemos;componéis;componen;componiendo;compuesto;compondré;compondrás;compondrá;compondremos;compondréis;compondrán;componía;componías;componíamos;componíais;componían;compuse;compusiste;compuso;compusimos;compusisteis;compusieron;compondría;compondrías;compondríamos;compondríais;compondrían;componga;compongas;compongamos;compongáis;compongan;compusiera;compusieras;compusiéramos;compusierais;compusieran;compusiere;compusieres;compusiéremos;compusiereis;compusieren;;compón;componed"
"146","comprar","compraré;comprarás;comprará;compraremos;compraréis;comprarán;comprando;comprado;compro;compras;compra;compramos;compráis;compran;compraba;comprabas;comprábamos;comprabais;compraban;compré;compraste;compró;comprasteis;compraron;compraría;comprarías;compraríamos;compraríais;comprarían;compre;compres;compremos;compréis;compren;comprara;compraras;compráramos;comprarais;compraran;comprare;comprares;compráremos;comprareis;compraren;;comprad"
"147","comprender","comprendo;comprendes;comprende;comprendemos;comprendéis;comprenden;comprendiendo;comprendido;comprenderé;comprenderás;comprenderá;comprenderemos;comprenderéis;comprenderán;comprendía;comprendías;comprendíamos;comprendíais;comprendían;comprendí;comprendiste;comprendió;comprendimos;comprendisteis;comprendieron;comprendería;comprenderías;comprenderíamos;comprenderíais;comprenderían;comprenda;comprendas;comprendamos;comprendáis;comprendan;comprendiera;comprendieras;comprendiéramos;comprendierais;comprendieran;comprendiere;comprendieres;comprendiéremos;comprendiereis;comprendieren;;comprended"
"148","comunicar","comunico;comunicas;comunica;comunicamos;comunicáis;comunican;comunicando;comunicado;comunicaré;comunicarás;comunicará;comunicaremos;comunicaréis;comunicarán;comunicaba;comunicabas;comunicábamos;comunicabais;comunicaban;comuniqué;comunicaste;comunicó;comunicasteis;comunicaron;comunicaría;comunicarías;comunicaríamos;comunicaríais;comunicarían;comunique;comuniques;comuniquemos;comuniquéis;comuniquen;comunicara;comunicaras;comunicáramos;comunicarais;comunicaran;comunicare;comunicares;comunicáremos;comunicareis;comunicaren;;comunicad"
"149","comunicarse",";comunícate;comunicaos;comuníquese;comuníquense;comunicándose;comunicado"
"150","condenar","condeno;condenas;condena;condenamos;condenáis;condenan;condenando;condenado;condenaré;condenarás;condenará;condenaremos;condenaréis;condenarán;condenaba;condenabas;condenábamos;condenabais;condenaban;condené;condenaste;condenó;condenasteis;condenaron;condenaría;condenarías;condenaríamos;condenaríais;condenarían;condene;condenes;condenemos;condenéis;condenen;condenara;condenaras;condenáramos;condenarais;condenaran;condenare;condenares;condenáremos;condenareis;condenaren;;condenad"
"151","conducir","conduzco;conduces;conduce;conducimos;conducís;conducen;conduciendo;conducido;conduciré;conducirás;conducirá;conduciremos;conduciréis;conducirán;conducía;conducías;conducíamos;conducíais;conducían;conduje;condujiste;condujo;condujimos;condujisteis;condujeron;conduciría;conducirías;conduciríamos;conduciríais;conducirían;conduzca;conduzcas;conduzcamos;conduzcáis;conduzcan;condujera;condujeras;condujéramos;condujerais;condujeran;condujere;condujeres;condujéremos;condujereis;condujeren;;conducid"
"152","confesar","confieso;confiesas;confiesa;confesamos;confesáis;confiesan;confesando;confesado;confesaré;confesarás;confesará;confesaremos;confesaréis;confesarán;confesaba;confesabas;confesábamos;confesabais;confesaban;confesé;confesaste;confesó;confesasteis;confesaron;confesaría;confesarías;confesaríamos;confesaríais;confesarían;confiese;confieses;confesemos;confeséis;confiesen;confesara;confesaras;confesáramos;confesarais;confesaran;confesare;confesares;confesáremos;confesareis;confesaren;;confesad"
"153","confiar","confío;confías;confía;confiamos;confiáis;confían;confiando;confiado;confiaré;confiarás;confiará;confiaremos;confiaréis;confiarán;confiaba;confiabas;confiábamos;confiabais;confiaban;confié;confiaste;confió;confiasteis;confiaron;confiaría;confiarías;confiaríamos;confiaríais;confiarían;confíe;confíes;confiemos;confiéis;confíen;confiara;confiaras;confiáramos;confiarais;confiaran;confiare;confiares;confiáremos;confiareis;confiaren;;confiad"
"154","confirmar","confirmo;confirmas;confirma;confirmamos;confirmáis;confirman;confirmando;confirmado;confirmaré;confirmarás;confirmará;confirmaremos;confirmaréis;confirmarán;confirmaba;confirmabas;confirmábamos;confirmabais;confirmaban;confirmé;confirmaste;confirmó;confirmasteis;confirmaron;confirmaría;confirmarías;confirmaríamos;confirmaríais;confirmarían;confirme;confirmes;confirmemos;confirméis;confirmen;confirmara;confirmaras;confirmáramos;confirmarais;confirmaran;confirmare;confirmares;confirmáremos;confirmareis;confirmaren;;confirmad"
"155","confiscar","confisco;confiscas;confisca;confiscamos;confiscáis;confiscan;confiscando;confiscado;confiscaré;confiscarás;confiscará;confiscaremos;confiscaréis;confiscarán;confiscaba;confiscabas;confiscábamos;confiscabais;confiscaban;confisqué;confiscaste;confiscó;confiscasteis;confiscaron;confiscaría;confiscarías;confiscaríamos;confiscaríais;confiscarían;confisque;confisques;confisquemos;confisquéis;confisquen;confiscara;confiscaras;confiscáramos;confiscarais;confiscaran;confiscare;confiscares;confiscáremos;confiscareis;confiscaren;;confiscad"
"156","conjugar","conjugo;conjugas;conjuga;conjugamos;conjugáis;conjugan;conjugando;conjugado;conjugaré;conjugarás;conjugará;conjugaremos;conjugaréis;conjugarán;conjugaba;conjugabas;conjugábamos;conjugabais;conjugaban;conjugué;conjugaste;conjugó;conjugasteis;conjugaron;conjugaría;conjugarías;conjugaríamos;conjugaríais;conjugarían;conjugue;conjugues;conjuguemos;conjuguéis;conjuguen;conjugara;conjugaras;conjugáramos;conjugarais;conjugaran;conjugare;conjugares;conjugáremos;conjugareis;conjugaren;;conjugad"
"157","conocer","conozco;conoces;conoce;conocemos;conocéis;conocen;conociendo;conocido;conoceré;conocerás;conocerá;conoceremos;conoceréis;conocerán;conocía;conocías;conocíamos;conocíais;conocían;conocí;conociste;conoció;conocimos;conocisteis;conocieron;conocería;conocerías;conoceríamos;conoceríais;conocerían;conozca;conozcas;conozcamos;conozcáis;conozcan;conociera;conocieras;conociéramos;conocierais;conocieran;conociere;conocieres;conociéremos;conociereis;conocieren;;conoced"
"158","conquistar","conquistaré;conquistarás;conquistará;conquistaremos;conquistaréis;conquistarán;conquistando;conquistado;conquisto;conquistas;conquista;conquistamos;conquistáis;conquistan;conquistaba;conquistabas;conquistábamos;conquistabais;conquistaban;conquisté;conquistaste;conquistó;conquistasteis;conquistaron;conquistaría;conquistarías;conquistaríamos;conquistaríais;conquistarían;conquiste;conquistes;conquistemos;conquistéis;conquisten;conquistara;conquistaras;conquistáramos;conquistarais;conquistaran;conquistare;conquistares;conquistáremos;conquistareis;conquistaren;;conquistad"
"159","conseguir","consigo;consigues;consigue;conseguimos;conseguís;consiguen;consiguiendo;conseguido;conseguiré;conseguirás;conseguirá;conseguiremos;conseguiréis;conseguirán;conseguía;conseguías;conseguíamos;conseguíais;conseguían;conseguí;conseguiste;consiguió;conseguisteis;consiguieron;conseguiría;conseguirías;conseguiríamos;conseguiríais;conseguirían;consiga;consigas;consigamos;consigáis;consigan;consiguiera;consiguieras;consiguiéramos;consiguierais;consiguieran;consiguiere;consiguieres;consiguiéremos;consiguiereis;consiguieren;;conseguid"
"160","consentir","consiento;consientes;consiente;consentimos;consentís;consienten;consintiendo;consentido;consentiré;consentirás;consentirá;consentiremos;consentiréis;consentirán;consentía;consentías;consentíamos;consentíais;consentían;consentí;consentiste;consintió;consentisteis;consintieron;consentiría;consentirías;consentiríamos;consentiríais;consentirían;consienta;consientas;consintamos;consintáis;consientan;consintiera;consintieras;consintiéramos;consintierais;consintieran;consintiere;consintieres;consintiéremos;consintiereis;consintieren;;consentid"
"161","conservar","conservo;conservas;conserva;conservamos;conserváis;conservan;conservando;conservado;conservaré;conservarás;conservará;conservaremos;conservaréis;conservarán;conservaba;conservabas;conservábamos;conservabais;conservaban;conservé;conservaste;conservó;conservasteis;conservaron;conservaría;conservarías;conservaríamos;conservaríais;conservarían;conserve;conserves;conservemos;conservéis;conserven;conservara;conservaras;conserváramos;conservarais;conservaran;conservare;conservares;conserváremos;conservareis;conservaren;;conservad"
"162","consistir","consisto;consistes;consiste;consistimos;consistís;consisten;consistiendo;consistido;consistiré;consistirás;consistirá;consistiremos;consistiréis;consistirán;consistía;consistías;consistíamos;consistíais;consistían;consistí;consististe;consistió;consististeis;consistieron;consistiría;consistirías;consistiríamos;consistiríais;consistirían;consista;consistas;consistamos;consistáis;consistan;consistiera;consistieras;consistiéramos;consistierais;consistieran;consistiere;consistieres;consistiéremos;consistiereis;consistieren;;consistid"
"163","constituir","constituyo;constituyes;constituye;constituimos;constituís;constituyen;constituyendo;constituido;constituiré;constituirás;constituirá;constituiremos;constituiréis;constituirán;constituía;constituías;constituíamos;constituíais;constituían;constituí;constituiste;constituyó;constituisteis;constituyeron;constituiría;constituirías;constituiríamos;constituiríais;constituirían;constituya;constituyas;constituyamos;constituyáis;constituyan;constituyera;constituyeras;constituyéramos;constituyerais;constituyeran;constituyere;constituyeres;constituyéremos;constituyereis;constituyeren;;constituid"
"164","construir","construyo;construyes;construye;construimos;construís;construyen;construyendo;construido;construiré;construirás;construirá;construiremos;construiréis;construirán;construía;construías;construíamos;construíais;construían;construí;construiste;construyó;construisteis;construyeron;construiría;construirías;construiríamos;construiríais;construirían;construya;construyas;construyamos;construyáis;construyan;construyera;construyeras;construyéramos;construyerais;construyeran;construyere;construyeres;construyéremos;construyereis;construyeren;;construid"
"165","consumir","consumo;consumes;consume;consumimos;consumís;consumen;consumiendo;consumido;consumiré;consumirás;consumirá;consumiremos;consumiréis;consumirán;consumía;consumías;consumíamos;consumíais;consumían;consumí;consumiste;consumió;consumisteis;consumieron;consumiría;consumirías;consumiríamos;consumiríais;consumirían;consuma;consumas;consumamos;consumáis;consuman;consumiera;consumieras;consumiéramos;consumierais;consumieran;consumiere;consumieres;consumiéremos;consumiereis;consumieren;;consumid"
"166","contaminar","contamino;contaminas;contamina;contaminamos;contamináis;contaminan;contaminando;contaminado;contaminaré;contaminarás;contaminará;contaminaremos;contaminaréis;contaminarán;contaminaba;contaminabas;contaminábamos;contaminabais;contaminaban;contaminé;contaminaste;contaminó;contaminasteis;contaminaron;contaminaría;contaminarías;contaminaríamos;contaminaríais;contaminarían;contamine;contamines;contaminemos;contaminéis;contaminen;contaminara;contaminaras;contamináramos;contaminarais;contaminaran;contaminare;contaminares;contamináremos;contaminareis;contaminaren;;contaminad"
"167","contar","cuento;cuentas;cuenta;contamos;contáis;cuentan;contando;contado;contaré;contarás;contará;contaremos;contaréis;contarán;contaba;contabas;contábamos;contabais;contaban;conté;contaste;contó;contasteis;contaron;contaría;contarías;contaríamos;contaríais;contarían;cuente;cuentes;contemos;contéis;cuenten;contara;contaras;contáramos;contarais;contaran;contare;contares;contáremos;contareis;contaren;;contad"
"168","contener","contengo;contienes;contiene;contenemos;contenéis;contienen;conteniendo;contenido;contendré;contendrás;contendrá;contendremos;contendréis;contendrán;contenía;contenías;conteníamos;conteníais;contenían;contuve;contuviste;contuvo;contuvimos;contuvisteis;contuvieron;contendría;contendrías;contendríamos;contendríais;contendrían;contenga;contengas;contengamos;contengáis;contengan;contuviera;contuvieras;contuviéramos;contuvierais;contuvieran;contuviere;contuvieres;contuviéremos;contuviereis;contuvieren;;contén;contened"
"169","contestar","contesto;contestas;contesta;contestamos;contestáis;contestan;contestando;contestado;contestaré;contestarás;contestará;contestaremos;contestaréis;contestarán;contestaba;contestabas;contestábamos;contestabais;contestaban;contesté;contestaste;contestó;contestasteis;contestaron;contestaría;contestarías;contestaríamos;contestaríais;contestarían;conteste;contestes;contestemos;contestéis;contesten;contestara;contestaras;contestáramos;contestarais;contestaran;contestare;contestares;contestáremos;contestareis;contestaren;;contestad"
"170","continuar","continúo;continúas;continúa;continuamos;continuáis;continúan;continuando;continuado;continuaré;continuarás;continuará;continuaremos;continuaréis;continuarán;continuaba;continuabas;continuábamos;continuabais;continuaban;continué;continuaste;continuó;continuasteis;continuaron;continuaría;continuarías;continuaríamos;continuaríais;continuarían;continúe;continúes;continuemos;continuéis;continúen;continuara;continuaras;continuáramos;continuarais;continuaran;continuare;continuares;continuáremos;continuareis;continuaren;;continuad"
"171","contribuir","contribuyo;contribuyes;contribuye;contribuimos;contribuís;contribuyen;contribuyendo;contribuido;contribuiré;contribuirás;contribuirá;contribuiremos;contribuiréis;contribuirán;contribuía;contribuías;contribuíamos;contribuíais;contribuían;contribuí;contribuiste;contribuyó;contribuisteis;contribuyeron;contribuiría;contribuirías;contribuiríamos;contribuiríais;contribuirían;contribuya;contribuyas;contribuyamos;contribuyáis;contribuyan;contribuyera;contribuyeras;contribuyéramos;contribuyerais;contribuyeran;contribuyere;contribuyeres;contribuyéremos;contribuyereis;contribuyeren;;contribuid"
"172","controlar","controlo;controlas;controla;controlamos;controláis;controlan;controlando;controlado;controlaré;controlarás;controlará;controlaremos;controlaréis;controlarán;controlaba;controlabas;controlábamos;controlabais;controlaban;controlé;controlaste;controló;controlasteis;controlaron;controlaría;controlarías;controlaríamos;controlaríais;controlarían;controle;controles;controlemos;controléis;controlen;controlara;controlaras;controláramos;controlarais;controlaran;controlare;controlares;controláremos;controlareis;controlaren;;controlad"
"173","convencer","convenzo;convences;convence;convencemos;convencéis;convencen;convenciendo;convencido;convenceré;convencerás;convencerá;convenceremos;convenceréis;convencerán;convencía;convencías;convencíamos;convencíais;convencían;convencí;convenciste;convenció;convencimos;convencisteis;convencieron;convencería;convencerías;convenceríamos;convenceríais;convencerían;convenza;convenzas;convenzamos;convenzáis;convenzan;convenciera;convencieras;convenciéramos;convencierais;convencieran;convenciere;convencieres;convenciéremos;convenciereis;convencieren;;convenced"
"174","convenir","convengo;convienes;conviene;convenimos;convenís;convienen;conviniendo;convenido;convendré;convendrás;convendrá;convendremos;convendréis;convendrán;convenía;convenías;conveníamos;conveníais;convenían;convine;conviniste;convino;convinimos;convinisteis;convinieron;convendría;convendrías;convendríamos;convendríais;convendrían;convenga;convengas;convengamos;convengáis;convengan;conviniera;convinieras;conviniéramos;convinierais;convinieran;conviniere;convinieres;conviniéremos;conviniereis;convinieren;;convén;convenid"
"175","conversar","converso;conversas;conversa;conversamos;conversáis;conversan;conversando;conversado;conversaré;conversarás;conversará;conversaremos;conversaréis;conversarán;conversaba;conversabas;conversábamos;conversabais;conversaban;conversé;conversaste;conversó;conversasteis;conversaron;conversaría;conversarías;conversaríamos;conversaríais;conversarían;converse;converses;conversemos;converséis;conversen;conversara;conversaras;conversáramos;conversarais;conversaran;conversare;conversares;conversáremos;conversareis;conversaren;;conversad"
"176","convertir","convierto;conviertes;convierte;convertimos;convertís;convierten;convirtiendo;convertido;convertiré;convertirás;convertirá;convertiremos;convertiréis;convertirán;convertía;convertías;convertíamos;convertíais;convertían;convertí;convertiste;convirtió;convertisteis;convirtieron;convertiría;convertirías;convertiríamos;convertiríais;convertirían;convierta;conviertas;convirtamos;convirtáis;conviertan;convirtiera;convirtieras;convirtiéramos;convirtierais;convirtieran;convirtiere;convirtieres;convirtiéremos;convirtiereis;convirtieren;;convertid"
"177","convidar","convido;convidas;convida;convidamos;convidáis;convidan;convidando;convidado;convidaré;convidarás;convidará;convidaremos;convidaréis;convidarán;convidaba;convidabas;convidábamos;convidabais;convidaban;convidé;convidaste;convidó;convidasteis;convidaron;convidaría;convidarías;convidaríamos;convidaríais;convidarían;convide;convides;convidemos;convidéis;conviden;convidara;convidaras;convidáramos;convidarais;convidaran;convidare;convidares;convidáremos;convidareis;convidaren;;convidad"
"178","copiar","copio;copias;copia;copiamos;copiáis;copian;copiando;copiado;copiaré;copiarás;copiará;copiaremos;copiaréis;copiarán;copiaba;copiabas;copiábamos;copiabais;copiaban;copié;copiaste;copió;copiasteis;copiaron;copiaría;copiarías;copiaríamos;copiaríais;copiarían;copie;copies;copiemos;copiéis;copien;copiara;copiaras;copiáramos;copiarais;copiaran;copiare;copiares;copiáremos;copiareis;copiaren;;copiad"
"179","corregir","corrijo;corriges;corrige;corregimos;corregís;corrigen;corrigiendo;corregido;corregiré;corregirás;corregirá;corregiremos;corregiréis;corregirán;corregía;corregías;corregíamos;corregíais;corregían;corregí;corregiste;corrigió;corregisteis;corrigieron;corregiría;corregirías;corregiríamos;corregiríais;corregirían;corrija;corrijas;corrijamos;corrijáis;corrijan;corrigiera;corrigieras;corrigiéramos;corrigierais;corrigieran;corrigiere;corrigieres;corrigiéremos;corrigiereis;corrigieren;;corregid"
"180","correr","corro;corres;corre;corremos;corréis;corren;corriendo;corrido;correré;correrás;correrá;correremos;correréis;correrán;corría;corrías;corríamos;corríais;corrían;corrí;corriste;corrió;corrimos;corristeis;corrieron;correría;correrías;correríamos;correríais;correrían;corra;corras;corramos;corráis;corran;corriera;corrieras;corriéramos;corrierais;corrieran;corriere;corrieres;corriéremos;corriereis;corrieren;;corred"
"181","cortar","cortare;cortares;cortáremos;cortareis;cortaren;cortando;cortado;corte;cortes;cortemos;cortéis;corten;cortara;cortaras;cortáramos;cortarais;cortaran;corto;cortas;corta;cortamos;cortáis;cortan;cortaré;cortarás;cortará;cortaremos;cortaréis;cortarán;cortaba;cortabas;cortábamos;cortabais;cortaban;corté;cortaste;cortó;cortasteis;cortaron;cortaría;cortarías;cortaríamos;cortaríais;cortarían;;cortad"
"182","coser","coso;coses;cose;cosemos;coséis;cosen;cosiendo;cosido;coseré;coserás;coserá;coseremos;coseréis;coserán;cosía;cosías;cosíamos;cosíais;cosían;cosí;cosiste;cosió;cosimos;cosisteis;cosieron;cosería;coserías;coseríamos;coseríais;coserían;cosa;cosas;cosamos;cosáis;cosan;cosiera;cosieras;cosiéramos;cosierais;cosieran;cosiere;cosieres;cosiéremos;cosiereis;cosieren;;cosed"
"183","costar","cuesto;cuestas;cuesta;costamos;costáis;cuestan;costando;costado;costaré;costarás;costará;costaremos;costaréis;costarán;costaba;costabas;costábamos;costabais;costaban;costé;costaste;costó;costasteis;costaron;costaría;costarías;costaríamos;costaríais;costarían;cueste;cuestes;costemos;costéis;cuesten;costara;costaras;costáramos;costarais;costaran;costare;costares;costáremos;costareis;costaren;;costad"
"184","crear","creo;creas;crea;creamos;creáis;crean;creando;creado;crearé;crearás;creará;crearemos;crearéis;crearán;creaba;creabas;creábamos;creabais;creaban;creé;creaste;creó;creasteis;crearon;crearía;crearías;crearíamos;crearíais;crearían;cree;crees;creemos;creéis;creen;creara;crearas;creáramos;crearais;crearan;creare;creares;creáremos;creareis;crearen;;cread"
"185","crecer","crezco;creces;crece;crecemos;crecéis;crecen;creciendo;crecido;creceré;crecerás;crecerá;creceremos;creceréis;crecerán;crecía;crecías;crecíamos;crecíais;crecían;crecí;creciste;creció;crecimos;crecisteis;crecieron;crecería;crecerías;creceríamos;creceríais;crecerían;crezca;crezcas;crezcamos;crezcáis;crezcan;creciera;crecieras;creciéramos;crecierais;crecieran;creciere;crecieres;creciéremos;creciereis;crecieren;;creced"
"186","creer","creo;crees;cree;creemos;creéis;creen;creyendo;creído;creeré;creerás;creerá;creeremos;creeréis;creerán;creía;creías;creíamos;creíais;creían;creí;creíste;creyó;creímos;creísteis;creyeron;creería;creerías;creeríamos;creeríais;creerían;crea;creas;creamos;creáis;crean;creyera;creyeras;creyéramos;creyerais;creyeran;creyere;creyeres;creyéremos;creyereis;creyeren;;creed"
"187","criar","crío;crías;cría;criamos;criáis;crían;criando;criado;criaré;criarás;criará;criaremos;criaréis;criarán;criaba;criabas;criábamos;criabais;criaban;crié;criaste;crio;criasteis;criaron;criaría;criarías;criaríamos;criaríais;criarían;críe;críes;criemos;criéis;críen;criara;criaras;criáramos;criarais;criaran;criare;criares;criáremos;criareis;criaren;;criad"
"188","criarse",";críate;criaos;críese;críense;criándose;criado"
"189","criticar","critico;criticas;critica;criticamos;criticáis;critican;criticando;criticado;criticaré;criticarás;criticará;criticaremos;criticaréis;criticarán;criticaba;criticabas;criticábamos;criticabais;criticaban;critiqué;criticaste;criticó;criticasteis;criticaron;criticaría;criticarías;criticaríamos;criticaríais;criticarían;critique;critiques;critiquemos;critiquéis;critiquen;criticara;criticaras;criticáramos;criticarais;criticaran;criticare;criticares;criticáremos;criticareis;criticaren;;criticad"
"190","crucificar","crucifico;crucificas;crucifica;crucificamos;crucificáis;crucifican;crucificando;crucificado;crucificaré;crucificarás;crucificará;crucificaremos;crucificaréis;crucificarán;crucificaba;crucificabas;crucificábamos;crucificabais;crucificaban;crucifiqué;crucificaste;crucificó;crucificasteis;crucificaron;crucificaría;crucificarías;crucificaríamos;crucificaríais;crucificarían;crucifique;crucifiques;crucifiquemos;crucifiquéis;crucifiquen;crucificara;crucificaras;crucificáramos;crucificarais;crucificaran;crucificare;crucificares;crucificáremos;crucificareis;crucificaren;;crucificad"
"191","cruzar","cruzo;cruzas;cruza;cruzamos;cruzáis;cruzan;cruzando;cruzado;cruzaré;cruzarás;cruzará;cruzaremos;cruzaréis;cruzarán;cruzaba;cruzabas;cruzábamos;cruzabais;cruzaban;crucé;cruzaste;cruzó;cruzasteis;cruzaron;cruzaría;cruzarías;cruzaríamos;cruzaríais;cruzarían;cruce;cruces;crucemos;crucéis;crucen;cruzara;cruzaras;cruzáramos;cruzarais;cruzaran;cruzare;cruzares;cruzáremos;cruzareis;cruzaren;;cruzad"
"192","cubrir","cubro;cubres;cubre;cubrimos;cubrís;cubren;cubriendo;cubierto;cubriré;cubrirás;cubrirá;cubriremos;cubriréis;cubrirán;cubría;cubrías;cubríamos;cubríais;cubrían;cubrí;cubriste;cubrió;cubristeis;cubrieron;cubriría;cubrirías;cubriríamos;cubriríais;cubrirían;cubra;cubras;cubramos;cubráis;cubran;cubriera;cubrieras;cubriéramos;cubrierais;cubrieran;cubriere;cubrieres;cubriéremos;cubriereis;cubrieren;;cubrid"
"193","cuidar","cuidé;cuidaste;cuidó;cuidamos;cuidasteis;cuidaron;cuidando;cuidado;cuido;cuidas;cuida;cuidáis;cuidan;cuidaré;cuidarás;cuidará;cuidaremos;cuidaréis;cuidarán;cuidaba;cuidabas;cuidábamos;cuidabais;cuidaban;cuidaría;cuidarías;cuidaríamos;cuidaríais;cuidarían;cuide;cuides;cuidemos;cuidéis;cuiden;cuidara;cuidaras;cuidáramos;cuidarais;cuidaran;cuidare;cuidares;cuidáremos;cuidareis;cuidaren;;cuidad"
"194","culpar","culpo;culpas;culpa;culpamos;culpáis;culpan;culpando;culpado;culparé;culparás;culpará;culparemos;culparéis;culparán;culpaba;culpabas;culpábamos;culpabais;culpaban;culpé;culpaste;culpó;culpasteis;culparon;culparía;culparías;culparíamos;culparíais;culparían;culpe;culpes;culpemos;culpéis;culpen;culpara;culparas;culpáramos;culparais;culparan;culpare;culpares;culpáremos;culpareis;culparen;;culpad"
"195","cultivar","cultivo;cultivas;cultiva;cultivamos;cultiváis;cultivan;cultivando;cultivado;cultivaré;cultivarás;cultivará;cultivaremos;cultivaréis;cultivarán;cultivaba;cultivabas;cultivábamos;cultivabais;cultivaban;cultivé;cultivaste;cultivó;cultivasteis;cultivaron;cultivaría;cultivarías;cultivaríamos;cultivaríais;cultivarían;cultive;cultives;cultivemos;cultivéis;cultiven;cultivara;cultivaras;cultiváramos;cultivarais;cultivaran;cultivare;cultivares;cultiváremos;cultivareis;cultivaren;;cultivad"
"196","cumplir","cumplo;cumples;cumple;cumplimos;cumplís;cumplen;cumpliendo;cumplido;cumpliré;cumplirás;cumplirá;cumpliremos;cumpliréis;cumplirán;cumplía;cumplías;cumplíamos;cumplíais;cumplían;cumplí;cumpliste;cumplió;cumplisteis;cumplieron;cumpliría;cumplirías;cumpliríamos;cumpliríais;cumplirían;cumpla;cumplas;cumplamos;cumpláis;cumplan;cumpliera;cumplieras;cumpliéramos;cumplierais;cumplieran;cumpliere;cumplieres;cumpliéremos;cumpliereis;cumplieren;;cumplid"
"197","curar","curo;curas;cura;curamos;curáis;curan;curando;curado;curaré;curarás;curará;curaremos;curaréis;curarán;curaba;curabas;curábamos;curabais;curaban;curé;curaste;curó;curasteis;curaron;curaría;curarías;curaríamos;curaríais;curarían;cure;cures;curemos;curéis;curen;curara;curaras;curáramos;curarais;curaran;curare;curares;curáremos;curareis;curaren;;curad"
"198","dar","doy;das;da;damos;dais;dan;dando;dado;daré;darás;dará;daremos;daréis;darán;daba;dabas;dábamos;dabais;daban;di;diste;dio;dimos;disteis;dieron;daría;darías;daríamos;daríais;darían;dé;des;demos;deis;den;diera;dieras;diéramos;dierais;dieran;diere;dieres;diéremos;diereis;dieren;;dad"
"199","deber","debo;debes;debe;debemos;debéis;deben;debiendo;debido;deberé;deberás;deberá;deberemos;deberéis;deberán;debía;debías;debíamos;debíais;debían;debí;debiste;debió;debimos;debisteis;debieron;debería;deberías;deberíamos;deberíais;deberían;deba;debas;debamos;debáis;deban;debiera;debieras;debiéramos;debierais;debieran;debiere;debieres;debiéremos;debiereis;debieren;;debed"
"200","decidir","decido;decides;decide;decidimos;decidís;deciden;decidiendo;decidido;decidiré;decidirás;decidirá;decidiremos;decidiréis;decidirán;decidía;decidías;decidíamos;decidíais;decidían;decidí;decidiste;decidió;decidisteis;decidieron;decidiría;decidirías;decidiríamos;decidiríais;decidirían;decida;decidas;decidamos;decidáis;decidan;decidiera;decidieras;decidiéramos;decidierais;decidieran;decidiere;decidieres;decidiéremos;decidiereis;decidieren;;decidid"
"201","decidirse",";decídete;decidíos;decídase;decídanse;decidiéndose;decidido"
"202","decir","digo;dices;dice;decimos;decís;dicen;diciendo;dicho;diré;dirás;dirá;diremos;diréis;dirán;decía;decías;decíamos;decíais;decían;dije;dijiste;dijo;dijimos;dijisteis;dijeron;diría;dirías;diríamos;diríais;dirían;diga;digas;digamos;digáis;digan;dijera;dijeras;dijéramos;dijerais;dijeran;dijere;dijeres;dijéremos;dijereis;dijeren;;di;decid"
"203","declarar","declaro;declaras;declara;declaramos;declaráis;declaran;declarando;declarado;declararé;declararás;declarará;declararemos;declararéis;declararán;declaraba;declarabas;declarábamos;declarabais;declaraban;declaré;declaraste;declaró;declarasteis;declararon;declararía;declararías;declararíamos;declararíais;declararían;declare;declares;declaremos;declaréis;declaren;declarara;declararas;declaráramos;declararais;declararan;declarare;declarares;declaráremos;declarareis;declararen;;declarad"
"204","decorar","decoro;decoras;decora;decoramos;decoráis;decoran;decorando;decorado;decoraré;decorarás;decorará;decoraremos;decoraréis;decorarán;decoraba;decorabas;decorábamos;decorabais;decoraban;decoré;decoraste;decoró;decorasteis;decoraron;decoraría;decorarías;decoraríamos;decoraríais;decorarían;decore;decores;decoremos;decoréis;decoren;decorara;decoraras;decoráramos;decorarais;decoraran;decorare;decorares;decoráremos;decorareis;decoraren;;decorad"
"205","dedicar","dedico;dedicas;dedica;dedicamos;dedicáis;dedican;dedicando;dedicado;dedicaré;dedicarás;dedicará;dedicaremos;dedicaréis;dedicarán;dedicaba;dedicabas;dedicábamos;dedicabais;dedicaban;dediqué;dedicaste;dedicó;dedicasteis;dedicaron;dedicaría;dedicarías;dedicaríamos;dedicaríais;dedicarían;dedique;dediques;dediquemos;dediquéis;dediquen;dedicara;dedicaras;dedicáramos;dedicarais;dedicaran;dedicare;dedicares;dedicáremos;dedicareis;dedicaren;;dedicad"
"206","dedicarse",";dedícate;dedicaos;dedíquese;dedíquense;dedicándose;dedicado"
"207","defender","defiendo;defiendes;defiende;defendemos;defendéis;defienden;defendiendo;defendido;defenderé;defenderás;defenderá;defenderemos;defenderéis;defenderán;defendía;defendías;defendíamos;defendíais;defendían;defendí;defendiste;defendió;defendimos;defendisteis;defendieron;defendería;defenderías;defenderíamos;defenderíais;defenderían;defienda;defiendas;defendamos;defendáis;defiendan;defendiera;defendieras;defendiéramos;defendierais;defendieran;defendiere;defendieres;defendiéremos;defendiereis;defendieren;;defended"
